ID;Consulta
1;Museos
2;Cines
3;Teatros
4;Arrocerías
5;Joyerías
6;Estaciones de esquí
7;Floristerías
8;Chocolaterías
9;Pastelerías
10;Calzado y zapatos
11;Heladerías
12;Hamburgueserías
13;Librerías
14;Gimnasios con piscina
15;Estadios
16;Centros deportivos municipales
17;Karaokes
18;Tabernas
19;Discotecas
20;Tapas
21;Campos de golf
22;Casinos
23;Iglesias
24;Asadores
25;Mercados
26;¿Dónde se pueden alquilar bicicletas?
27;¿Dónde puedo encontrar algún spa o balneario urbano para relajarse?
28;Dime restaurantes veganos para comer
29;¿A dónde debería ir para ver zarzuelas y óperas?
30;¿Qué centros comerciales hay en Madrid?
31;¿Qué sitios ofrecen cursos de cocina?
32;Lugares para ver un espectáculo de flamenco
33;Empresas que ofrezcan rutas guiadas por Madrid
34;¿En qué tiendas se puede comprar ropa para niños?
35;¿Qué teatros se encuentran cerca de la Gran Vía?
36;Bar de copas con música en directo
37;¿Cuáles son las galerías de arte contemporáneo en Madrid?
38;¿Dónde se puede ir para reparar un instrumento musical?
39;¿Dónde puedo disfrutar de comida típica gallega?
40;Tiendas donde comprar productos tecnológicos
41;Recomiéndame terrazas para poder tomarme algo mientras aprecio las vistas de la ciudad de Madrid
42;¿Cuáles son los mejores sitios para comer un cocido madrileño?
43;Lugares en Madrid para ir con los amigos a un escape room
44;¿Dónde puedo tomarme unos churros con chocolate?
45;Busca las tiendas en las que se vendan muñecas y/o peluches
46;¿Qué lugares disponen de pista de tenis para jugar con amigos?
47;¿Dónde puedo comprar perfumes?
48;¿A qué restaurantes se puede ir a comer sushi?
49;¿Cuáles son los puntos y centros de información en Madrid?
50;Encuentra las instituciones académicas y fundaciones que hay en Madrid
